Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	geneSymbol
cluster_PE2	GO:0005758	mitochondrial intermembrane space	3/410	80/19559	0.235608728819625	0.417091128045553	0.288226894430836	TXNIP/CHCHD10/COX17	3	TXNIP/CHCHD10/COX17
cluster_PE2	GO:0030176	integral component of endoplasmic reticulum membrane	5/410	158/19559	0.237727603385338	0.41895492435174	0.289514853308555	B2M/HLA-B/HLA-F/HLA-C/HLA-A	5	B2M/HLA-B/HLA-F/HLA-C/HLA-A
cluster_PE2	GO:0032585	multivesicular body membrane	1/410	13/19559	0.240800727226807	0.420598603556156	0.290650702336918	SORL1	1	SORL1
cluster_PE2	GO:0099243	extrinsic component of synaptic membrane	1/410	13/19559	0.240800727226807	0.420598603556156	0.290650702336918	HIP1	1	HIP1
cluster_PE2	GO:0005819	spindle	10/410	367/19559	0.242939702858161	0.422457093908219	0.291934994585028	MYH9/HSPB1/GEM/NR3C1/SNCG/CALM1/FRY/MAP7D3/APP/CEP350	10	MYH9/HSPB1/GEM/NR3C1/SNCG/CALM1/FRY/MAP7D3/APP/CEP350
cluster_PE2	GO:0005923	bicellular tight junction	4/410	122/19559	0.253414415356015	0.43680642646892	0.301850965659519	CCND1/FRMD4A/TJP1/APC	4	CCND1/FRMD4A/TJP1/APC
cluster_PE2	GO:0098936	intrinsic component of postsynaptic membrane	4/410	122/19559	0.253414415356015	0.43680642646892	0.301850965659519	SLC8A1/NTRK3/P2RX1/NRP1	4	SLC8A1/NTRK3/P2RX1/NRP1
cluster_PE2	GO:0031089	platelet dense granule lumen	1/410	14/19559	0.25672581173704	0.438666278315898	0.303136198755864	TIMP3	1	TIMP3
cluster_PE2	GO:0034518	RNA cap binding complex	1/410	14/19559	0.25672581173704	0.438666278315898	0.303136198755864	ZFP36	1	ZFP36
cluster_PE2	GO:0009897	external side of plasma membrane	11/410	417/19559	0.260659849758428	0.442588411090717	0.305846551657707	MCAM/CD9/B2M/ITGA1/HLA-F/TGFBR2/THBS1/SLC38A1/ALCAM/CD59/P2RX1	11	MCAM/CD9/B2M/ITGA1/HLA-F/TGFBR2/THBS1/SLC38A1/ALCAM/CD59/P2RX1
cluster_PE2	GO:0070820	tertiary granule	5/410	164/19559	0.261273565834724	0.442588411090717	0.305846551657707	B2M/STOM/CD59/TSPAN14/SLC2A3	5	B2M/STOM/CD59/TSPAN14/SLC2A3
cluster_PE2	GO:0031227	intrinsic component of endoplasmic reticulum membrane	5/410	166/19559	0.269242215165336	0.451564705528017	0.312049535358854	B2M/HLA-B/HLA-F/HLA-C/HLA-A	5	B2M/HLA-B/HLA-F/HLA-C/HLA-A
cluster_PE2	GO:0099240	intrinsic component of synaptic membrane	5/410	166/19559	0.269242215165336	0.451564705528017	0.312049535358854	SLC8A1/NTRK3/P2RX1/SYT11/NRP1	5	SLC8A1/NTRK3/P2RX1/SYT11/NRP1
cluster_PE2	GO:0005639	integral component of nuclear inner membrane	1/410	15/19559	0.27231764684514	0.451564705528017	0.312049535358854	P2RX1	1	P2RX1
cluster_PE2	GO:0031229	intrinsic component of nuclear inner membrane	1/410	15/19559	0.27231764684514	0.451564705528017	0.312049535358854	P2RX1	1	P2RX1
cluster_PE2	GO:0032591	dendritic spine membrane	1/410	15/19559	0.27231764684514	0.451564705528017	0.312049535358854	ITGA8	1	ITGA8
cluster_PE2	GO:0120111	neuron projection cytoplasm	3/410	87/19559	0.275102114426374	0.454265256174643	0.313915725440091	HSPB1/DST/KCNAB1	3	HSPB1/DST/KCNAB1
cluster_PE2	GO:0000932	P-body	3/410	88/19559	0.280805171348449	0.459818468083085	0.317753220210087	ZFP36/WTIP/ZFP36L1	3	ZFP36/WTIP/ZFP36L1
cluster_PE2	GO:0008076	voltage-gated potassium channel complex	3/410	88/19559	0.280805171348449	0.459818468083085	0.317753220210087	KCNE4/KCNAB1/KCNMA1	3	KCNE4/KCNAB1/KCNMA1
cluster_PE2	GO:0070160	tight junction	4/410	129/19559	0.285878985602509	0.46319751416535	0.320088278169708	CCND1/FRMD4A/TJP1/APC	4	CCND1/FRMD4A/TJP1/APC
cluster_PE2	GO:0005767	secondary lysosome	1/410	16/19559	0.28758318945635	0.46319751416535	0.320088278169708	PLA2G5	1	PLA2G5
cluster_PE2	GO:0030014	CCR4-NOT complex	1/410	16/19559	0.28758318945635	0.46319751416535	0.320088278169708	ZFP36	1	ZFP36
cluster_PE2	GO:0098688	parallel fiber to Purkinje cell synapse	1/410	16/19559	0.28758318945635	0.46319751416535	0.320088278169708	PLCB4	1	PLCB4
