Cluster	ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	geneSymbol
Ko_Oe_Beta2	BP	GO:0007043	cell-cell junction assembly	33/2899	166/29872	0.198795180722892	2.04843381805941	4.44076037459849	5.28942495944795e-05	0.000264770461200776	0.000142222521652694	Smad7/Cntnap2/Epb41l3/Nfasc/Rock2/Cdh1/Pard3/Itgb1/Slc39a9/Pkn2/Hipk1/Cldn7/Prkca/Pkp4/Rock1/Pak2/Dlg1/Cdh2/Ctnnb1/Ctnna1/Actb/Patj/Tjp1/Flcn/Afdn/Rps6/Rhoa/Nedd4l/Abi2/Pdcd6ip/Mpp7/Actn4/Actg1	33	Smad7/Cntnap2/Epb41l3/Nfasc/Rock2/Cdh1/Pard3/Itgb1/Slc39a9/Pkn2/Hipk1/Cldn7/Prkca/Pkp4/Rock1/Pak2/Dlg1/Cdh2/Ctnnb1/Ctnna1/Actb/Patj/Tjp1/Flcn/Afdn/Rps6/Rhoa/Nedd4l/Abi2/Pdcd6ip/Mpp7/Actn4/Actg1
Ko_Oe_Beta2	BP	GO:0098781	ncRNA transcription	31/2899	152/29872	0.203947368421053	2.10152321127067	4.46349864082328	5.30162586205721e-05	0.000265214499782812	0.000142461038768847	Pax6/App/Tgfbr1/Nop53/Smad4/Gnl3/Foxo3/Ncl/Top1/Ubtf/Mtor/Egr1/Stat3/Gtf2h5/Ctcf/Smarca4/Ddx5/Hif1a/Ddx17/Jun/Ncor1/Tead1/Npm1/Ell2/Bmpr1a/Yy1/Zc3h4/Ice1/Nr3c1/Sirt7/Fos	31	Pax6/App/Tgfbr1/Nop53/Smad4/Gnl3/Foxo3/Ncl/Top1/Ubtf/Mtor/Egr1/Stat3/Gtf2h5/Ctcf/Smarca4/Ddx5/Hif1a/Ddx17/Jun/Ncor1/Tead1/Npm1/Ell2/Bmpr1a/Yy1/Zc3h4/Ice1/Nr3c1/Sirt7/Fos
Ko_Oe_Beta2	BP	GO:0090398	cellular senescence	22/2899	92/29872	0.239130434782609	2.464058070999	4.61077821429189	5.35829993824942e-05	0.000267713304317556	0.000143803281708021	Mif/Mapk14/Akt3/Map3k3/Cdkn1a/Smc6/Calr/Gch1/Mtor/Nsmce2/Lmna/Smc5/Opa1/Zmiz1/Kat6a/Pten/Ybx1/Npm1/Htt/Bmpr1a/Kras/Id2	22	Mif/Mapk14/Akt3/Map3k3/Cdkn1a/Smc6/Calr/Gch1/Mtor/Nsmce2/Lmna/Smc5/Opa1/Zmiz1/Kat6a/Pten/Ybx1/Npm1/Htt/Bmpr1a/Kras/Id2
Ko_Oe_Beta2	BP	GO:0097581	lamellipodium organization	22/2899	92/29872	0.239130434782609	2.464058070999	4.61077821429189	5.35829993824942e-05	0.000267713304317556	0.000143803281708021	Itgb1/Cdc42/Atp7a/Hsp90aa1/Snx2/Dnm2/Actr3/Ablim1/Auts2/Mtor/Abi1/Arpc5/Ccdc88a/Golph3/Arpc2/Actr2/Abi2/Rac1/Capzb/Fgd4/Cfl1/Nckap1	22	Itgb1/Cdc42/Atp7a/Hsp90aa1/Snx2/Dnm2/Actr3/Ablim1/Auts2/Mtor/Abi1/Arpc5/Ccdc88a/Golph3/Arpc2/Actr2/Abi2/Rac1/Capzb/Fgd4/Cfl1/Nckap1
Ko_Oe_Beta2	BP	GO:0150063	visual system development	68/2899	434/29872	0.15668202764977	1.6144896619365	4.22755880658796	5.41276824936996e-05	0.000270265118106473	0.00014517399878198	Crybb3/Large1/Sdk2/Ntrk2/Skil/Ski/Cacna1c/Clic4/Pax6/Vegfa/Chd7/Tgfbr1/Slc4a7/Neurod1/Celf4/Sp1/Sipa1l3/Nf1/Zeb1/Hipk1/Meis2/Ptprm/Arid1a/Pds5a/Nipbl/Pbx1/Dlg1/Gnb1/Bsg/Hipk2/Fgfr2/Sp3/Agtpbp1/Zhx2/Apc/Hmgb1/Stat3/Ctnnb1/Smarca4/Arhgap35/Kdm2b/Grcc10/Hif1a/Twsg1/Bax/Stau2/Jun/Kmt2c/Pfdn5/Ppp2r3a/Hmgn1/Med1/Frs2/Rpl24/Nectin3/Scaper/Yy1/Rab3gap1/Pds5b/Fkbp8/Pbx3/Atf6/Abi2/Prom1/Prickle1/Lrp6/Ahi1/Atf4	68	Crybb3/Large1/Sdk2/Ntrk2/Skil/Ski/Cacna1c/Clic4/Pax6/Vegfa/Chd7/Tgfbr1/Slc4a7/Neurod1/Celf4/Sp1/Sipa1l3/Nf1/Zeb1/Hipk1/Meis2/Ptprm/Arid1a/Pds5a/Nipbl/Pbx1/Dlg1/Gnb1/Bsg/Hipk2/Fgfr2/Sp3/Agtpbp1/Zhx2/Apc/Hmgb1/Stat3/Ctnnb1/Smarca4/Arhgap35/Kdm2b/Grcc10/Hif1a/Twsg1/Bax/Stau2/Jun/Kmt2c/Pfdn5/Ppp2r3a/Hmgn1/Med1/Frs2/Rpl24/Nectin3/Scaper/Yy1/Rab3gap1/Pds5b/Fkbp8/Pbx3/Atf6/Abi2/Prom1/Prickle1/Lrp6/Ahi1/Atf4
Ko_Oe_Beta2	BP	GO:0038127	ERBB signaling pathway	27/2899	125/29872	0.216	2.22571645394964	4.50202392122541	5.59592507361836e-05	0.000278885777761556	0.000149804620902345	Adam17/Ptprf/Hip1r/Dusp3/Mapk1/Cblb/Braf/Cbl/Ptprj/Ptpn2/Map2k2/Shc1/Rab7/Ptpn11/Grb2/Dgkd/Ccdc88a/Tsg101/Rtn4/Iqgap1/Snx5/Arf4/Errfi1/Prickle1/Psen1/Rnf115/Mvp	27	Adam17/Ptprf/Hip1r/Dusp3/Mapk1/Cblb/Braf/Cbl/Ptprj/Ptpn2/Map2k2/Shc1/Rab7/Ptpn11/Grb2/Dgkd/Ccdc88a/Tsg101/Rtn4/Iqgap1/Snx5/Arf4/Errfi1/Prickle1/Psen1/Rnf115/Mvp
Ko_Oe_Beta2	BP	GO:0046545	development of primary female sexual characteristics	27/2899	125/29872	0.216	2.22571645394964	4.50202392122541	5.59592507361836e-05	0.000278885777761556	0.000149804620902345	Arid5b/Pde4d/Vegfa/Myh9/Ptprn/Nrip1/Smad4/Immp2l/Foxo3/Zfx/Adrm1/Vgf/Ubb/Dach1/Atm/Insr/Bax/Sod1/Wnt4/Ube3a/Nupr1/Scaper/Hnrnpk/Cebpb/Rac1/Gas2/Plekha1	27	Arid5b/Pde4d/Vegfa/Myh9/Ptprn/Nrip1/Smad4/Immp2l/Foxo3/Zfx/Adrm1/Vgf/Ubb/Dach1/Atm/Insr/Bax/Sod1/Wnt4/Ube3a/Nupr1/Scaper/Hnrnpk/Cebpb/Rac1/Gas2/Plekha1
Ko_Oe_Beta2	BP	GO:0060419	heart growth	27/2899	125/29872	0.216	2.22571645394964	4.50202392122541	5.59592507361836e-05	0.000278885777761556	0.000149804620902345	Rgs4/Camk2d/Sorbs2/Mapk14/Prkar1a/Tgfbr1/Arid2/Mapk1/Slc25a4/Gsk3b/Ccnd2/Foxp1/Fgfr2/Mtor/Apc/Ctnnb1/Ep300/Ddx39b/Map2k4/Rbm10/Akap13/Pten/Jarid2/Ncam1/Bmpr1a/Yy1/Nr3c1	27	Rgs4/Camk2d/Sorbs2/Mapk14/Prkar1a/Tgfbr1/Arid2/Mapk1/Slc25a4/Gsk3b/Ccnd2/Foxp1/Fgfr2/Mtor/Apc/Ctnnb1/Ep300/Ddx39b/Map2k4/Rbm10/Akap13/Pten/Jarid2/Ncam1/Bmpr1a/Yy1/Nr3c1
Ko_Oe_Beta2	BP	GO:0032387	negative regulation of intracellular transport	16/2899	56/29872	0.285714285714286	2.94406938353127	4.77381348371241	5.65243317206336e-05	0.000281349861139454	0.00015112821323201	Vps35/Map1b/Nf1/Park7/Nup153/Erlec1/Os9/Txn1/Derl2/Rbm10/Ufm1/Rangap1/Tpr/Sar1a/Snx3/Sumo1	16	Vps35/Map1b/Nf1/Park7/Nup153/Erlec1/Os9/Txn1/Derl2/Rbm10/Ufm1/Rangap1/Tpr/Sar1a/Snx3/Sumo1
Ko_Oe_Beta2	BP	GO:0046605	regulation of centrosome cycle	16/2899	56/29872	0.285714285714286	2.94406938353127	4.77381348371241	5.65243317206336e-05	0.000281349861139454	0.00015112821323201	Chmp2a/Rock2/Ccnl1/Xpo1/Azin1/Vps4b/Cep120/Atf5/Cdk11b/Chmp5/Npm1/Chmp4b/Dync1li1/Pdcd6ip/Ccnl2/Chordc1	16	Chmp2a/Rock2/Ccnl1/Xpo1/Azin1/Vps4b/Cep120/Atf5/Cdk11b/Chmp5/Npm1/Chmp4b/Dync1li1/Pdcd6ip/Ccnl2/Chordc1
